Comune,Provincia,Regione,Elenco pubblicato?,Numero beni trasferiti da Openregio,"Data di pubblicazione, se disponibile",Formato di pubblicazione,"Sono indicati foglio, particella e subpartice","Tipologia dell'immobile È indicato, per ogni bene, se si tratta di un terreno, una villa, un appartamento, un box, un fabbricato rurale ecc.?",Ubicazione È indicato l'indirizzo e il numero civico di ogni bene?, È indicata la consistenza del bene in mq o in ettari?,È specificata quale sia la destinazione del bene tra istituzionale e sociale?,Utilizzazione 1 - È specificato se il bene è già riutilizzato?,Utilizzazione 2 - È indicato l'utilizzo specifico?,È indicata la ragione sociale specifica del soggetto gestore?, È inserito un riferimento all'atto amministrativo di concessione?,È indicato l'oggetto dell'atto di concessione?, È specificata la durata dell'affidamento al concessionario?, Nome Province,Provincia Estesa,Latitudine Provincia,Longitudine Provincia
CAMPOLONGO MAGGIORE,VE,Veneto,no,12,,,no,no,no,no,no,no,no,no,no,no,no,VE,Venezia,45.4333,12.35
CAMPONOGARA,VE,Veneto,no,5,,,no,no,no,no,no,no,no,no,no,no,no,VE,Venezia,45.4333,12.35
CAORLE,VE,Veneto,no,1,,,no,no,no,no,no,no,no,no,no,no,no,VE,Venezia,45.4333,12.35
JESOLO,VE,Veneto,no,2,,,no,no,no,no,no,no,no,no,no,no,no,VE,Venezia,45.4333,12.35
SALZANO,VE,Veneto,no,9,,,no,no,no,no,no,no,no,no,no,no,no,VE,Venezia,45.4333,12.35
SAN MICHELE AL TAGLIAMENTO,VE,Veneto,no,2,,,no,no,no,no,no,no,no,no,no,no,no,VE,Venezia,45.4333,12.35
STRA,VE,Veneto,no,3,,,no,no,no,no,no,no,no,no,no,no,no,VE,Venezia,45.4333,12.35
VENEZIA,VE,Veneto,si,3,,Pdf - Ricercabile,no,si,no,no,si,si,si,no,no,no,no,VE,Venezia,45.4333,12.35
BASSANO DEL GRAPPA,VI,Veneto,si,2,2019-05-01,Pdf - Ricercabile,no,si,si,si,si,si,si,no,no,no,no,VI,Vicenza,45.55,11.55
CASSOLA,VI,Veneto,si,1,2020-01-01,Pdf - Ricercabile,si,si,si,si,si,si,si,no,si,si,si,VI,Vicenza,45.55,11.55
GALLIO,VI,Veneto,no,2,,,no,no,no,no,no,no,no,no,no,no,no,VI,Vicenza,45.55,11.55
MONTEBELLO VICENTINO,VI,Veneto,no,1,,,no,no,no,no,no,no,no,no,no,no,no,VI,Vicenza,45.55,11.55
VALDAGNO,VI,Veneto,no,4,,,no,no,no,no,no,no,no,no,no,no,no,VI,Vicenza,45.55,11.55
BUSSOLENGO,VR,Veneto,no,26,,,no,no,no,no,no,no,no,no,no,no,no,VR,Verona,45.45,11.0
CASTEL D'AZZANO,VR,Veneto,no,1,,,no,no,no,no,no,no,no,no,no,no,no,VR,Verona,45.45,11.0
CEREA,VR,Veneto,no,4,,,no,no,no,no,no,no,no,no,no,no,no,VR,Verona,45.45,11.0
GAZZO VERONESE,VR,Veneto,no,2,,,no,no,no,no,no,no,no,no,no,no,no,VR,Verona,45.45,11.0
ISOLA DELLA SCALA,VR,Veneto,si,1,2018-09-06,Pdf - Immagine,no,si,si,si,si,si,si,no,si,si,no,VR,Verona,45.45,11.0
OPPEANO,VR,Veneto,no,1,,,no,no,no,no,no,no,no,no,no,no,no,VR,Verona,45.45,11.0
PESCHIERA DEL GARDA,VR,Veneto,no,3,,,no,no,no,no,no,no,no,no,no,no,no,VR,Verona,45.45,11.0
SAN GIOVANNI LUPATOTO,VR,Veneto,no,3,,,no,no,no,no,no,no,no,no,no,no,no,VR,Verona,45.45,11.0
SANGUINETTO,VR,Veneto,no,5,,,no,no,no,no,no,no,no,no,no,no,no,VR,Verona,45.45,11.0
VERONA,VR,Veneto,si,6,2020-09-16,Pdf - Ricercabile,si,si,si,no,si,si,si,si,si,si,si,VR,Verona,45.45,11.0
